x,y
768,582
767,583
767,584
766,585
766,586
765,587
765,588
764,589
764,590
763,591
763,592
762,593
762,594
761,595
761,596
757,600
756,600
750,606
749,606
748,607
747,607
746,608
743,608
742,609
741,609
740,610
736,610
735,611
733,611
732,612
730,612
729,613
727,613
726,614
723,614
722,615
721,615
720,616
718,616
717,617
716,617
715,618
714,618
713,619
710,619
708,621
696,621
695,622
683,622
682,623
671,623
670,624
664,624
663,625
658,625
657,626
651,626
650,627
642,627
641,628
638,628
637,629
615,629
614,630
607,630
606,631
605,631
603,633
602,633
594,641
594,643
593,644
593,646
592,647
592,649
591,650
591,651
590,652
590,653
589,654
589,655
587,657
587,658
584,661
584,663
580,667
580,668
577,671
577,672
571,678
570,678
568,680
567,680
546,701
546,702
545,703
545,704
534,715
534,716
532,718
532,719
531,720
531,722
527,726
527,729
522,734
522,735
520,737
520,738
519,739
519,740
516,743
514,743
513,744
513,745
512,746
512,748
511,749
511,751
510,752
510,754
509,755
509,757
508,758
508,761
507,762
507,767
506,768
506,771
505,772
505,778
504,779
504,784
503,785
503,793
502,794
502,798
501,799
501,801
500,802
498,802
497,803
496,803
495,804
493,804
492,805
491,805
490,806
489,806
488,807
487,807
486,808
484,808
483,809
482,809
481,810
480,810
479,811
478,811
479,811
480,810
481,810
482,809
483,809
484,808
486,808
487,807
488,807
489,806
490,806
491,805
492,805
493,804
495,804
496,803
497,803
498,802
501,802
502,803
502,804
503,805
503,806
512,815
512,816
520,824
520,825
522,827
523,827
526,830
527,830
531,834
531,835
507,859
507,861
506,862
506,866
505,867
505,871
504,872
504,878
503,879
504,878
504,872
505,871
505,867
506,866
506,862
507,861
507,859
530,836
532,836
552,856
552,858
553,859
553,860
554,861
554,862
555,863
555,864
556,865
556,866
557,867
557,868
558,869
558,870
560,872
560,874
561,875
561,876
562,877
562,878
563,879
563,880
564,881
564,883
565,884
567,884
568,885
569,885
568,885
567,884
565,884
564,883
564,881
563,880
563,879
562,878
562,877
561,876
561,875
560,874
560,872
558,870
558,869
557,868
557,867
556,866
556,865
555,864
555,863
554,862
554,861
553,860
553,859
552,858
552,856
531,835
536,830
537,830
538,829
539,829
542,826
543,826
544,825
548,825
549,824
551,824
552,823
556,823
557,822
561,822
562,821
571,821
572,820
573,820
574,821
582,821
583,820
681,820
682,821
687,821
688,822
690,822
691,823
697,823
698,824
703,824
704,825
710,825
711,826
716,826
717,825
718,825
719,824
720,824
721,823
722,823
734,811
735,811
736,810
737,810
739,808
740,808
741,807
742,807
743,806
744,806
745,805
747,805
749,803
759,803
760,802
768,802
769,801
774,801
775,800
781,800
782,799
788,799
789,798
804,798
805,797
806,797
807,796
808,796
809,795
809,794
810,793
810,792
811,791
811,790
814,787
815,787
817,785
818,785
820,783
821,783
824,780
826,780
827,779
832,779
833,778
836,778
847,789
848,789
849,790
851,790
852,791
853,791
854,792
855,792
857,794
855,792
854,792
853,791
852,791
851,790
849,790
848,789
847,789
836,778
836,777
837,776
837,775
838,774
838,773
839,772
839,771
840,770
840,769
841,768
841,767
842,766
842,765
843,764
844,764
846,762
847,762
849,760
850,760
856,754
857,754
859,752
860,752
862,750
863,750
864,749
865,749
866,748
867,748
869,746
870,746
874,742
875,742
876,741
878,741
879,740
881,740
882,739
883,739
888,734
890,734
891,733
893,733
894,732
899,732
900,731
901,731
904,728
907,728
908,727
910,727
911,726
912,726
913,725
914,725
915,724
917,724
918,723
922,723
923,722
925,722
926,721
928,721
929,720
931,720
932,719
934,719
935,718
937,718
938,717
940,717
941,716
944,716
945,715
946,716
948,716
949,717
951,717
953,719
953,720
954,721
954,723
955,724
955,726
956,727
956,729
957,730
957,732
958,733
958,734
969,745
970,745
969,745
958,734
958,733
957,732
957,730
956,729
956,727
955,726
955,724
954,723
954,721
953,720
953,719
951,717
954,714
958,714
959,713
961,713
962,712
964,712
965,711
967,711
968,710
972,710
973,709
975,709
976,708
978,708
979,707
